person_id,era_from,era_to,                                               
1635,-175,-50,
1636,-166,-50,
1637,-175,-75,
1638,-154,-50,
1639,-175,-57,
1642,-175,-50,
1643,-175,-50,
1644,-175,-50,
1645,-162,-88,
1646,-140,-113,
1648,-175,-50,
1649,-161,-103,
1650,-175,-50,
1651,-155,-109,
1652,-175,-50,
1653,-175,-50,
1655,-175,-50,
1656,-175,-118,
1657,-161,-50,
1658,-175,-50,
1660,-158,-86,
1662,-149,-50,
1663,-154,-50,
1665,-175,-50,
1666,-155,-50,
1667,-175,-25,
1668,-175,-50,
1669,-175,-50,
1670,-175,-50,
1671,-175,-50,
1674,-175,-50,
1675,-160,-120,
1676,-150,-50,
1677,-175,-50,
1678,-150,-50,
